,AdministrativeAreaLevel2,Amount
0,Belfast,11
1,Lisburn and Castlereagh,2
2,Armagh Banbridge and Craigavon,1
3,Derry and Strabane,1
4,Dungannon and South Tyrone,1
5,Mid and East Antrim,1
6,Lisburn and Castlereagh,1
7,Newry Mourne and Down,1
8,North Down and Ards,1
