,AdministrativeAreaLevel2,Amount
0,Antrim and Newtownabbey,182
1,North Down and Ards,224
2,Armagh Banbridge and Craigavon,240
3,Mid and East Antrim,184
4,Causway Coast and Glens,155
5,Belfast,698
6,Mid and East Antrim,98
7,Lisburn and Castlereagh,197
9,Mid Ulster,76
10,Newry Mourne and Down,188
11,Derry and Strabane,186
14,Dungannon and South Tyrone,56
15,Fermanagh and Omagh,113
