,Quarter Year,Antrim and Newtownabbey Standardised Price,Ards and North Down Standardised Price,Armagh City Banbridge and Craigavon Standardised Price,Belfast Standardised Price,Causeway Coast and Glens Standardised Price,Derry City and Strabane Standardised Price,Fermanagh and Omagh Standardised Price,Lisburn and Castlereagh Standardised Price,Mid and East Antrim Standardised Price,Mid Ulster Standardised Price,Newry Mourne and Down Standardised Price
40,Q1 2015,114962.7242,134223.1199,98571.62418,105685.7618,107966.2591,94673.23059,95838.17223,134254.4611,103539.4707,111845.8443,112508.6906
41,Q2 2015,119685.488,135878.6663,100809.1836,108328.6806,114358.984,94368.43004,100243.4786,138556.4343,109127.7818,116441.6843,116409.8482
42,Q3 2015,121422.7888,139825.7025,104149.0104,112844.0686,118770.858,98115.25766,106164.9918,140946.7626,108576.7056,116410.6165,121469.2438
43,Q4 2015,122677.2634,140270.1742,106687.766,113013.8065,118247.5114,97691.76897,111747.8261,143096.2592,110822.0705,115465.3833,122577.7661
44,Q1 2016,120735.3946,139777.5758,107699.469,110980.8505,122682.5861,100962.044,109980.2917,142341.9979,110691.2681,122445.8859,120753.6466
45,Q2 2016,128067.9297,142348.1181,111343.5487,119206.0036,122802.1471,102644.6064,109990.0346,148948.7038,116428.8864,119101.3628,124305.2551
46,Q3 2016,130891.9742,142348.1391,110290.4048,118772.1258,126349.1077,105675.8689,112684.5479,150347.6765,118940.5808,124115.7658,128247.6269
47,Q4 2016,131044.2304,143178.6491,111237.3996,119086.1905,128236.8328,107510.4029,113080.0078,148682.8063,118959.7696,123592.3436,127161.5608
48,Q1 2017,129334.1699,143395.2065,113858.0943,116898.3391,128314.9743,109326.1501,112168.1728,147802.0231,116489.0346,123832.3766,129831.5256
49,Q2 2017,134389.656,147639.2779,115404.3693,120350.9443,132465.9472,109938.7691,118450.8987,154703.791,119882.8615,129887.7613,133394.09
