	index	Date	Longitude	Latitude	Location	Crime type	StreetNumber	Street	Locality	AdministrativeAreaLevel2	AdministrativeAreaLevel1	Country	PostCode
0	260	2016-09	-5.964265	54.586611	On or near 	Anti-social behaviour	8-80	St Katharines Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT12
1	3309	2015-06	-5.931541	54.596433	On or near Donegall Square West	Anti-social behaviour	9	Donegall Square W	Belfast	Belfast	Northern Ireland	United Kingdom	BT1 6JH
2	5128	2015-07	-5.940717	54.616375	On or near Cliftonville Avenue	Anti-social behaviour	24-42	Cliftonville Ave	Belfast	Belfast	Northern Ireland	United Kingdom	BT14
3	2612	2014-12	-6.722386	54.511590000000005	On or near Cavan Road	Anti-social behaviour	15	Cavan Rd		Dungannon and South Tyrone	Northern Ireland	United Kingdom	BT71
4	4326	2015-06	-6.036385	54.508168999999995	On or near Templar Avenue	Anti-social behaviour	5	Templar Ave	Lisburn	Lisburn	Northern Ireland	United Kingdom	BT27 5EL
5	1962	2015-08	-5.699039	54.594156999999996	On or near Regent Street	Anti-social behaviour	30-32	A20	Newtownards	Ards	Northern Ireland	United Kingdom	BT23 4BT
6	3368	2015-01	-5.928554	54.600102	On or near Winecellar Entry	Anti-social behaviour	2-4	Winecellar Entry	Belfast	Belfast	Northern Ireland	United Kingdom	BT1 1QN
7	1086	2015-06	-5.958642	54.670813	On or near 	Anti-social behaviour	300-302	Antrim Rd	Glengormley	Newtownabbey	Northern Ireland	United Kingdom	BT36 5EG
8	2013	2016-04	-5.900698	54.577249	On or near Shimna Close	Anti-social behaviour	22	Shimna Cl		Castlereagh	Northern Ireland	United Kingdom	BT6 0DZ
9	319	2015-08	-5.915143	54.596349	On or near Laganbank Road	Anti-social behaviour	1-3	Laganbank Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT1
10	37	2016-06	-6.338787	54.181339	On or near Mourne View Park	Anti-social behaviour	1	Mulligans Ct	Newry	Newry and Mourne	Northern Ireland	United Kingdom	BT35 6BY
11	335	2015-05	-6.464419	54.424009999999996	On or near Westland Road	Anti-social behaviour	107	Westland Rd	Portadown	Craigavon	Northern Ireland	United Kingdom	BT62 4DJ
12	3039	2015-01	-5.807505	54.59486	On or near Upper Newtownards Road	Anti-social behaviour	959	Upper Newtownards Rd		Castlereagh	Northern Ireland	United Kingdom	BT16 1RL
13	2963	2015-12	-7.664181	54.332449	On or near Drumawill Park	Anti-social behaviour	1	Drumawill Park		Fermanagh	Northern Ireland	United Kingdom	BT74 5JR
14	2682	2015-05	-5.928439	54.613038	On or near Glenrosa Street	Anti-social behaviour	37	Glenrosa St	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 2JB
15	532	2015-08	-6.022905000000001	54.569524	On or near Colinbrook Crescent	Anti-social behaviour	11-23	Colinbrook Cres	Dunmurry	Lisburn	Northern Ireland	United Kingdom	BT17 0PF
16	4300	2015-08	-6.033078	54.510164	On or near Gregg Street	Anti-social behaviour	16	Gregg Street Mews	Lisburn	Lisburn	Northern Ireland	United Kingdom	BT27
17	687	2016-03	-5.9202069999999996	54.608718999999994	On or near Dock Street	Anti-social behaviour	65	Dock St	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 1LF
18	881	2015-02	-6.000904	54.563753000000005	On or near Moor Park Avenue	Anti-social behaviour	4	Brooke Park	Belfast	Belfast	Northern Ireland	United Kingdom	BT10 0QE
19	4251	2015-09	-5.941648000000001	54.60283199999999	On or near Dover Street	Anti-social behaviour	3	Dover St	Belfast	Belfast	Northern Ireland	United Kingdom	BT13 2EB
20	2167	2016-12	-5.9320129999999995	54.610629	On or near Duncairn Parade	Anti-social behaviour		Duncairn Parade	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 2EW
21	4747	2014-10	-6.705261	55.173152	On or near Millrush Park	Anti-social behaviour	14	Millrush Park	Portstewart	Coleraine	Northern Ireland	United Kingdom	BT55 7FZ
22	2216	2017-04	-5.812389	54.859973	On or near Ferris Avenue	Anti-social behaviour	19-87	Ferris Ave	Larne	Larne	Northern Ireland	United Kingdom	BT40
23	3731	2017-01	-5.938485	54.618871	On or near Antrim Road	Anti-social behaviour	4	Camberwell Terrace	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 3AS
24	2072	2016-05	-6.6722399999999995	55.132525	On or near Queen Street	Anti-social behaviour	1	Queen St	Coleraine	Coleraine	Northern Ireland	United Kingdom	BT52 1BE
25	1604	2015-09	-6.327627	54.462956000000005	On or near Stevenson Park	Anti-social behaviour	1	Stevenson Park	Lurgan	Craigavon	Northern Ireland	United Kingdom	BT67 9BJ
26	4336	2016-03	-6.656237	54.352608	On or near Lower English Street	Anti-social behaviour	3	Banbrook Hill	Armagh	Armagh	Northern Ireland	United Kingdom	BT61 7LW
27	3059	2017-04	-6.339619	54.176616	On or near 	Anti-social behaviour			Newry	Newry and Mourne	Northern Ireland	United Kingdom	BT34 1BX
28	1838	2015-01	-7.452441	54.257872	On or near Sylvan Hill	Anti-social behaviour	62	Sylvan Hill	Lisnaskea	Fermanagh	Northern Ireland	United Kingdom	BT92 0LP
29	1078	2016-04	-5.979331	54.596647999999995	On or near Springhill Avenue	Anti-social behaviour	40-46	Springhill Ave	Belfast	Belfast	Northern Ireland	United Kingdom	BT12 7SG
30	1262	2015-06	-5.837703	54.631488	On or near Ash Green	Anti-social behaviour	4	Ash Green	Holywood	North Down	Northern Ireland	United Kingdom	BT18 9SW
31	3257	2017-03	-7.281092	54.992309	On or near Sevenoaks	Anti-social behaviour	186	Sevenoaks	Londonderry	Derry	Northern Ireland	United Kingdom	BT47 5HG
32	2930	2016-04	-5.967897	54.619602	On or near Ardoyne Road	Anti-social behaviour	44	Ardoyne Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT14 7HZ
33	1056	2016-12	-6.684551	54.441163	On or near Churchview	Anti-social behaviour	3	Church View		Armagh	Northern Ireland	United Kingdom	BT71 7SZ
34	667	2015-07	-7.011582000000001	54.44738100000001	On or near Tullywinny Road	Anti-social behaviour	10	Goland Rd		Dungannon and South Tyrone	Northern Ireland	United Kingdom	BT69 6BX
35	2969	2015-06	-5.8950629999999995	54.592641	On or near Avoniel Drive	Anti-social behaviour	2-20	Avoniel Dr	Belfast	Belfast	Northern Ireland	United Kingdom	BT5
36	1155	2017-04	-5.937782	54.62573199999999	On or near 	Anti-social behaviour	559	Antrim Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 3BU
37	283	2015-07	-5.947255	54.684187	On or near Fairhill Drive	Anti-social behaviour	21	Fairhill Dr	Glengormley	Newtownabbey	Northern Ireland	United Kingdom	BT36 6LU
38	1083	2015-10	-5.933895	54.58785699999999	On or near Lower Crescent	Anti-social behaviour	4	Lower Cres	Belfast	Belfast	Northern Ireland	United Kingdom	BT7
39	3538	2016-02	-5.714382	54.313485	On or near Bishops Brae Avenue	Anti-social behaviour	57	Bishops Brae Ave	Downpatrick	County Down	Northern Ireland	United Kingdom	BT30 6TG
40	4101	2017-04	-5.945343	54.598006999999996	On or near Albert Street	Anti-social behaviour	79-81	Albert St	Belfast	Belfast	Northern Ireland	United Kingdom	BT12 4DE
41	448	2016-02	-6.3228089999999995	54.756614	On or near Brackenburn	Anti-social behaviour	22	Starfield	Randalstown	Antrim	Northern Ireland	United Kingdom	BT41 3BU
42	1727	2016-01	-6.693519	54.447531000000005	On or near The Square	Anti-social behaviour	5	Forge Ln	Moy	Dungannon and South Tyrone	Northern Ireland	United Kingdom	BT71 7SB
43	3292	2017-04	-6.364262	54.450816	On or near 	Anti-social behaviour	87	Aldervale	Tullygally	Craigavon	Northern Ireland	United Kingdom	BT65 5AX
44	2449	2016-04	-6.074242	54.524331000000004	On or near 	Anti-social behaviour	1	Rathvarna Ave	Lisburn	Lisburn	Northern Ireland	United Kingdom	BT28 3ES
45	2565	2015-11	-5.8236360000000005	54.592994999999995	On or near Ardcarn Park	Anti-social behaviour	2A	Ardcarn Green	Belfast	Belfast	Northern Ireland	United Kingdom	BT5 7RR
46	2771	2015-09	-6.333428	54.45988199999999	On or near Bridge Street	Anti-social behaviour	1-2	Bridge St	Lurgan	Craigavon	Northern Ireland	United Kingdom	BT66 6AX
47	2561	2015-09	-5.758556	54.663051	On or near Craigdarragh Road	Anti-social behaviour	56	Craigdarragh Rd	Helen's Bay	North Down	Northern Ireland	United Kingdom	BT19 1UB
48	1117	2016-09	-5.920463	54.672562	On or near Renagh Park	Anti-social behaviour	7	Renagh Park		Newtownabbey	Northern Ireland	United Kingdom	BT36 6BS
49	1161	2016-08	-5.9344730000000006	54.623789	On or near Glantrasna Drive	Anti-social behaviour	1-15	Glantrasna Dr	Belfast	Belfast	Northern Ireland	United Kingdom	BT15
50	2593	2016-08	-5.688793	54.600737	On or near Belvedere Road	Anti-social behaviour	24	Londonderry Rd	Newtownards	Ards	Northern Ireland	United Kingdom	BT23
51	4784	2015-06	-5.92769	54.597014	On or near 	Anti-social behaviour	58	Upper Arthur St	Belfast	Belfast	Northern Ireland	United Kingdom	BT1 4GB
52	2436	2015-11	-5.8323540000000005	54.59024	On or near South Sperrin	Anti-social behaviour	68	N Sperrin		Castlereagh	Northern Ireland	United Kingdom	BT5 7HU
53	3338	2015-06	-7.331638000000001	54.988285999999995	On or near Bishop Street	Anti-social behaviour		Bishop St	Londonderry	Derry	Northern Ireland	United Kingdom	BT48 6UW
54	4025	2015-10	-5.67186	54.602658999999996	On or near Regency Park	Anti-social behaviour	14	Regency Park	Newtownards	Ards	Northern Ireland	United Kingdom	BT23 8ZA
55	3919	2016-08	-5.928221	54.608793999999996	On or near Earl Close	Anti-social behaviour	2	Earl Cl	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 2EJ
56	2043	2015-11	-5.934292	54.600173	On or near Berry Street	Anti-social behaviour	12-16	King St	Belfast	Belfast	Northern Ireland	United Kingdom	BT1
57	1099	2015-06	-6.493566	54.985265000000005	On or near Slievenaghy Road	Anti-social behaviour	10	Slievenaghy Rd		Ballymoney	Northern Ireland	United Kingdom	BT53
58	663	2016-10	-6.237742	54.931622999999995	On or near 	Anti-social behaviour	163	Knockan Rd	Rathkenny	Ballymena	Northern Ireland	United Kingdom	BT43 7LP
59	4667	2015-07	-5.984155	54.699668	On or near 	Anti-social behaviour	392-442	B56		Newtownabbey	Northern Ireland	United Kingdom	BT36 4TT
60	4075	2016-07	-7.320455	54.991870999999996	On or near Carlisle Road	Anti-social behaviour	75	Carlisle Rd	Londonderry	Derry	Northern Ireland	United Kingdom	BT48 6JX
61	2120	2016-05	-6.790572999999999	54.320555000000006	On or near Fellows Hall Road	Anti-social behaviour	116	Fellows Hall Rd	Tynan	Armagh	Northern Ireland	United Kingdom	BT60 4RX
62	917	2014-11	-5.923839	54.616428000000006	On or near North Derby Street	Anti-social behaviour	32	N Derby St	Belfast	Belfast	Northern Ireland	United Kingdom	BT15
63	702	2015-12	-6.350768	54.874248	On or near Mount Davys Road	Anti-social behaviour	12-22	Mount Davys Rd		Ballymena	Northern Ireland	United Kingdom	BT42
64	3436	2016-08	-7.309092999999999	54.611277	On or near Glenelly Gardens	Anti-social behaviour	1	Glenelly Gardens		Omagh	Northern Ireland	United Kingdom	BT79 7XJ
65	5016	2017-04	-7.323108	54.997589000000005	On or near Chamberlain Street	Anti-social behaviour	8	Chamberlain St	Londonderry	Derry	Northern Ireland	United Kingdom	BT48 6LR
66	360	2017-03	-5.671616	54.660862	On or near Central Avenue	Anti-social behaviour	48	Central Ave	Bangor	North Down	Northern Ireland	United Kingdom	BT20 3AW
67	4276	2015-05	-6.7307369999999995	54.527589	On or near Mullaghmarget Road	Anti-social behaviour	53-65	Mullaghmarget Rd		Dungannon and South Tyrone	Northern Ireland	United Kingdom	BT71
68	4042	2016-08	-5.895814	54.601487	On or near Connswater Grove	Anti-social behaviour	4	Connswater Grove	Belfast	Belfast	Northern Ireland	United Kingdom	BT4 1TY
69	4618	2016-03	-5.924189	54.583701	On or near Agincourt Avenue	Anti-social behaviour	1-5	Curzon St	Belfast	Belfast	Northern Ireland	United Kingdom	BT7 1QX
70	4273	2016-07	-7.317806	54.375994999999996	On or near Nelson Park	Anti-social behaviour	50	Nelson Park	Fivemiletown	Dungannon and South Tyrone	Northern Ireland	United Kingdom	BT75 0ND
71	1030	2016-12	-5.841076999999999	54.58797	On or near Kingsway Park	Anti-social behaviour	36	Kingsway Park	Castlereagh	Castlereagh	Northern Ireland	United Kingdom	BT5 7ET
72	34	2016-10	-6.040630999999999	54.510125	On or near Linenhall Street	Anti-social behaviour	25	Linenhall St	Lisburn	Lisburn	Northern Ireland	United Kingdom	BT28 1LU
73	1500	2016-12	-6.3437470000000005	54.161102	On or near Ardaveen Avenue	Anti-social behaviour	2	Ardaveen Cl	Newry	Newry and Mourne	Northern Ireland	United Kingdom	BT35
74	5685	2016-10	-6.269107	54.865736	On or near Glenravel Fold	Anti-social behaviour	15D	Glenravel Park	Ballymena	Ballymena	Northern Ireland	United Kingdom	BT43 7AG
75	3466	2016-11	-5.9202069999999996	54.608718999999994	On or near Dock Street	Anti-social behaviour	65	Dock St	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 1LF
76	3337	2016-10	-5.835103	54.641343000000006	On or near High Street	Anti-social behaviour			Holywood	North Down	Northern Ireland	United Kingdom	BT18
77	894	2014-12	-5.652131	54.39965	On or near Plantation Street	Anti-social behaviour	30	Plantation St	Killyleagh	County Down	Northern Ireland	United Kingdom	BT30 9QQ
78	1041	2015-07	-7.266446000000001	55.031251	On or near Clareen Drive	Anti-social behaviour	20-22	Clareen Dr		Derry	Northern Ireland	United Kingdom	BT47
79	1464	2014-12	-5.929281	54.65588399999999	On or near Longlands Park	Anti-social behaviour	1-7	Longlands Park		Newtownabbey	Northern Ireland	United Kingdom	BT36 7NG
80	3429	2016-12	-5.95085	54.595585	On or near Lincoln Square	Anti-social behaviour	16	Abyssinia St	Belfast	Belfast	Northern Ireland	United Kingdom	BT12 4LY
81	3995	2015-11	-6.653563	54.347367000000006	On or near Scotch Street	Anti-social behaviour	63	Scotch St	Armagh	Armagh	Northern Ireland	United Kingdom	BT61
82	1947	2015-05	-6.40621	54.43348	On or near Lisnisky Lane	Anti-social behaviour	20	Lisnisky Ln	Portadown	Craigavon	Northern Ireland	United Kingdom	BT63 5RB
83	2546	2016-03	-6.323079	54.457268000000006	On or near 	Anti-social behaviour	9	Hamilton Gardens	Lurgan	Craigavon	Northern Ireland	United Kingdom	BT66 8BW
84	1087	2016-08	-6.557739	55.127612	On or near Mountview Court	Anti-social behaviour	2	Mountview Ct	Ballybogey	Ballymoney	Northern Ireland	United Kingdom	BT53 6TF
85	2388	2016-07	-5.862912000000001	54.900074	On or near Coast Road	Anti-social behaviour	276	Coast Rd	Ballygalley	Larne	Northern Ireland	United Kingdom	BT40 2QZ
86	2164	2016-07	-5.999062	54.754506000000006	On or near Cameron Court	Anti-social behaviour	19	Cameron Ct	Ballyclare	Newtownabbey	Northern Ireland	United Kingdom	BT39 9XQ
87	2412	2015-12	-5.9545330000000005	54.578297	On or near Adelaide Avenue	Anti-social behaviour	171	Great Northern St	Belfast	Belfast	Northern Ireland	United Kingdom	BT9 7FX
88	1148	2017-03	-5.8005629999999995	54.59474300000001	On or near Burton Avenue	Anti-social behaviour	2	Burton Ave	Castlereagh	Castlereagh	Northern Ireland	United Kingdom	BT16 1RU
89	841	2015-01	-7.325601	55.001753	On or near Asylum Road	Anti-social behaviour	9	Asylum Rd	Londonderry	Derry	Northern Ireland	United Kingdom	BT48
90	1738	2015-07	-5.869925	54.592228000000006	On or near Holland Gardens	Anti-social behaviour	18	Kirkliston Gardens	Belfast	Belfast	Northern Ireland	United Kingdom	BT5 6EE
91	1391	2016-08	-6.714500999999999	55.18399300000001	On or near Parklea	Anti-social behaviour	17-25	Parklea	Portstewart	Coleraine	Northern Ireland	United Kingdom	BT55
92	3907	2017-02	-5.925909	54.580613	On or near 	Anti-social behaviour	58	Agra St	Belfast	Belfast	Northern Ireland	United Kingdom	BT7 3AH
93	2649	2017-04	-5.720562	54.327907999999994	On or near 	Anti-social behaviour	29-35	English St	Downpatrick	County Down	Northern Ireland	United Kingdom	BT30 6AE
94	3153	2016-04	-5.884692	54.51331	On or near Killynure Close	Anti-social behaviour	2-8	Killynure Cl	Carryduff	Castlereagh	Northern Ireland	United Kingdom	BT8 8PR
95	1718	2015-09	-5.673302	54.637335	On or near Enterprise Road	Anti-social behaviour	15	Enterprise Ct	Bangor	North Down	Northern Ireland	United Kingdom	BT19 7TU
96	2477	2016-06	-5.952729	54.572624	On or near Cranmore Park	Anti-social behaviour	41	Cranmore Park	Belfast	Belfast	Northern Ireland	United Kingdom	BT9 6HU
97	839	2015-08	-5.908859	54.589439	On or near Delaware Street	Anti-social behaviour	36	Delaware St	Belfast	Belfast	Northern Ireland	United Kingdom	BT6
98	1824	2015-12	-5.927294	54.584095999999995	On or near 	Anti-social behaviour	50	Palestine St	Belfast	Belfast	Northern Ireland	United Kingdom	BT7 1QJ
99	225	2016-11	-6.010325	54.06476800000001	On or near Slieveshan Park	Anti-social behaviour	67	Carn Gardens	Kilkeel	Newry and Mourne	Northern Ireland	United Kingdom	BT34 4DS
100	2677	2014-12	-6.025582	54.51959300000001	On or near Hilden Court	Anti-social behaviour	81	Hilden Ct	Lisburn	Lisburn	Northern Ireland	United Kingdom	BT27 4YL
101	3460	2016-04	-6.147022	54.696059999999996	On or near Old Mill	Anti-social behaviour	42	Dunadry Rd	Dunadry	Antrim	Northern Ireland	United Kingdom	BT41 4QN
102	2371	2015-02	-7.3146580000000005	54.989152000000004	On or near Spencer Road	Anti-social behaviour	15	Spencer Rd	Londonderry	Derry	Northern Ireland	United Kingdom	BT47 6QQ
103	4506	2015-06	-5.743578	54.547904	On or near Killinchy Street	Anti-social behaviour	1-17	A21	Comber	Ards	Northern Ireland	United Kingdom	BT23 5AP
104	5349	2015-10	-6.2551190000000005	54.344859	On or near Chinauley Park	Anti-social behaviour	2-24	Chinauley Park	Banbridge	Banbridge	Northern Ireland	United Kingdom	BT32
105	2055	2015-05	-6.953206	55.04790500000001	On or near William Street	Anti-social behaviour	1	William St		Limavady	Northern Ireland	United Kingdom	BT49 0HQ
106	4903	2016-09	-5.9413849999999995	54.549780000000005	On or near 	Anti-social behaviour	252	Belvoir Dr		Castlereagh	Northern Ireland	United Kingdom	BT8 7DU
107	2907	2016-01	-5.9325220000000005	54.601518000000006	On or near Gresham Street	Anti-social behaviour	26	Gresham St	Belfast	Belfast	Northern Ireland	United Kingdom	BT1 1JN
108	1722	2016-06	-7.163144	54.418781	On or near Ballymagowan Road	Anti-social behaviour	25	McCrea Park		Dungannon and South Tyrone	Northern Ireland	United Kingdom	BT76 0AG
109	3211	2017-03	-5.952111	54.588652	On or near 	Anti-social behaviour	312	Donegall Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT12 6FX
110	513	2016-06	-5.715943	54.332736	On or near Church Street	Anti-social behaviour	71-107	Church St	Downpatrick	County Down	Northern Ireland	United Kingdom	BT30 6ER
111	3478	2015-07	-5.984055000000001	54.561783999999996	On or near Upper Lisburn Road	Anti-social behaviour	124	A1	Belfast	Belfast	Northern Ireland	United Kingdom	BT10
112	2423	2017-02	-6.275119999999999	54.34429300000001	On or near Forthill Green	Anti-social behaviour	12	Forthill Green	Banbridge	Banbridge	Northern Ireland	United Kingdom	BT32
113	1598	2014-11	-5.708708000000001	54.595581	On or near Church Street	Anti-social behaviour		Circular Rd	Newtownards	Ards	Northern Ireland	United Kingdom	BT23 4EX
114	3662	2017-03	-6.196166000000001	54.715552	On or near Fountain Lane	Anti-social behaviour	10-13	Fountain Ln	Antrim	Antrim	Northern Ireland	United Kingdom	BT41 1LX
115	2324	2016-09	-6.0122480000000005	54.537488	On or near Riverside	Anti-social behaviour	60	Hornbeam Rd	Dunmurry	Lisburn	Northern Ireland	United Kingdom	BT17 9DW
116	3801	2017-01	-5.808829	54.718754000000004	On or near Rosebrook Avenue	Anti-social behaviour	12	Sunnylands Ave	Carrickfergus	Carrickfergus	Northern Ireland	United Kingdom	BT38 8JE
117	139	2015-06	-5.922125	54.602355	On or near Donegall Quay	Anti-social behaviour	68	Donegall Quay	Belfast	Belfast	Northern Ireland	United Kingdom	BT1 3AS
118	1816	2016-11	-5.937988	54.601449	On or near Sackville Court	Anti-social behaviour	9	Sackville Ct	Belfast	Belfast	Northern Ireland	United Kingdom	BT13 2GJ
119	2264	2016-08	-7.467088	54.823564000000005	On or near Bridge Street	Anti-social behaviour	35	B72		Strabane	Northern Ireland	United Kingdom	BT82 9AB
120	5236	2016-03	-5.936392	54.601808	On or near 	Anti-social behaviour	19	Brown St	Belfast	Belfast	Northern Ireland	United Kingdom	BT13 2GN
121	4461	2016-10	-7.282716000000001	54.972224	On or near Stoneburn Place	Anti-social behaviour	8	Stoneburn Pl	Londonderry	Derry	Northern Ireland	United Kingdom	BT47 3UZ
122	1011	2015-06	-5.9466730000000005	54.586026000000004	On or near Dunluce Avenue	Anti-social behaviour		Ulsterville Dr	Belfast	Belfast	Northern Ireland	United Kingdom	BT9 7BA
123	591	2016-05	-5.923723000000001	54.580090000000006	On or near 	Anti-social behaviour	50	Candahar St	Belfast	Belfast	Northern Ireland	United Kingdom	BT7 3AR
124	2898	2015-12	-5.956169	54.681463	On or near Ferndale Crescent	Anti-social behaviour	16	Ferndale Dr	Glengormley	Newtownabbey	Northern Ireland	United Kingdom	BT36 5AQ
125	2309	2016-09	-5.954336	54.601349	On or near Ashmore Street	Anti-social behaviour	65	Ashmore St	Belfast	Belfast	Northern Ireland	United Kingdom	BT13 2DU
126	2248	2015-04	-5.930701	54.6127	On or near Lepper Street	Anti-social behaviour	2-4	Lepper St	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 2GQ
127	1237	2016-10	-6.272027	54.351302000000004	On or near Reilly Place	Anti-social behaviour	8	Reilly Pl	Banbridge	Banbridge	Northern Ireland	United Kingdom	BT32 3DU
128	235	2017-01	-7.4744	54.78528299999999	On or near Sion Terrace	Anti-social behaviour	19-23	Church Square	Sion Mills	Strabane	Northern Ireland	United Kingdom	BT82 9HQ
129	867	2015-10	-5.889521	54.589103	On or near Orby Road	Anti-social behaviour	77	Orby Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT5
130	465	2015-06	-5.539379	54.628172	On or near Robbys Point	Anti-social behaviour	16	Robbys Point	Donaghadee	Ards	Northern Ireland	United Kingdom	BT21 0JU
131	790	2015-06	-5.759243	54.550864000000004	On or near Heathermount Park	Anti-social behaviour	2-10	Heathermount Park	Comber	Ards	Northern Ireland	United Kingdom	BT23 5HN
132	2438	2015-09	-7.326051	55.006624	On or near Argyle Street	Anti-social behaviour		Argyle St	Londonderry	Derry	Northern Ireland	United Kingdom	BT48 7JJ
133	475	2016-09	-5.986571	54.578493	On or near Commedagh Drive	Anti-social behaviour	3B	Commedagh Dr	Belfast	Belfast	Northern Ireland	United Kingdom	BT11 8GG
134	2712	2015-12	-5.952071	54.604240000000004	On or near Shankill Road	Anti-social behaviour	267-277	B39	Belfast	Belfast	Northern Ireland	United Kingdom	BT13
135	326	2015-05	-5.949649	54.602537	On or near North Howard Street	Anti-social behaviour	4	N Howard St	Belfast	Belfast	Northern Ireland	United Kingdom	BT13
136	2255	2016-02	-5.955547	54.595727000000004	On or near 	Anti-social behaviour	6	Springfield Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT12 7AG
137	704	2015-12	-6.273808	54.858867000000004	On or near Casement Street	Anti-social behaviour	4	Larne Rd	Ballymena	Ballymena	Northern Ireland	United Kingdom	BT42 3AS
138	607	2016-02	-6.478689	54.872999	On or near Clady Road	Anti-social behaviour	67	Gortgole Rd	Portglenone	Ballymena	Northern Ireland	United Kingdom	BT44 8PE
139	246	2017-04	-5.938064	54.626878000000005	On or near Antrim Road	Anti-social behaviour	452	Antrim Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 5GB
140	1276	2017-01	-5.933651	54.595113	On or near 	Anti-social behaviour	15	Brunswick St	Belfast	Belfast	Northern Ireland	United Kingdom	BT2
141	4981	2015-10	-6.473523999999999	54.758992000000006	On or near 	Anti-social behaviour		E16		Magherafelt	Northern Ireland	United Kingdom	BT41
142	1686	2017-04	-5.612698	54.564701	On or near 	Anti-social behaviour	12	Mt Stewart Rd		Ards	Northern Ireland	United Kingdom	BT22 2AL
143	4589	2015-10	-5.923238	54.596012	On or near 	Anti-social behaviour		Market St	Belfast	Belfast	Northern Ireland	United Kingdom	BT2 8LN
144	990	2015-10	-5.93009	54.606435999999995	On or near Lancaster Street	Anti-social behaviour	17-63	Lancaster St	Belfast	Belfast	Northern Ireland	United Kingdom	BT15
145	3258	2015-01	-7.664737	54.332181000000006	On or near Sligo Road	Anti-social behaviour	153	Sligo Rd		Fermanagh	Northern Ireland	United Kingdom	BT74 5JN
146	1265	2015-01	-6.447324	54.424609	On or near Park Road	Anti-social behaviour	150	Park Rd	Portadown	Craigavon	Northern Ireland	United Kingdom	BT62 1BH
147	2071	2015-12	-5.869743	54.592764	On or near Holland Crescent	Anti-social behaviour	2	Kirkliston Gardens	Belfast	Belfast	Northern Ireland	United Kingdom	BT5 6EE
148	4323	2015-10	-5.932780999999999	54.587541	On or near Botanic Avenue	Anti-social behaviour	71-77	Botanic Ave	Belfast	Belfast	Northern Ireland	United Kingdom	BT7
149	5020	2016-09	-6.8009070000000005	54.489197999999995	On or near Granville Terrace	Anti-social behaviour	8-2	Granville Terrace		Dungannon and South Tyrone	Northern Ireland	United Kingdom	BT70 1NP
150	134	2015-02	-5.979305999999999	54.584329000000004	On or near 	Anti-social behaviour	5	Glen Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT11 8BA
151	3144	2016-03	-5.694783	54.648627000000005	On or near Owenroe Drive	Anti-social behaviour	71	Owenroe Dr	Bangor	North Down	Northern Ireland	United Kingdom	BT19 1QJ
152	1445	2015-05	-7.477035000000001	54.821918000000004	On or near Lisnafin Park	Anti-social behaviour	386	Lisnafin Park		Strabane	Northern Ireland	United Kingdom	BT82 9DW
153	4286	2016-06	-5.97127	54.567994999999996	On or near Musgrave Park Court	Anti-social behaviour	4A	Musgrave Park Ct	Belfast	Belfast	Northern Ireland	United Kingdom	BT9 7HZ
154	3049	2014-11	-5.917032	54.59693000000001	On or near Mays Meadow	Anti-social behaviour	8	Laganbank Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT1 3BN
155	1625	2015-01	-5.852988	54.580059	On or near Creevy Avenue	Anti-social behaviour	6	Creevy Way		Castlereagh	Northern Ireland	United Kingdom	BT5 7PR
156	851	2016-01	-5.933066	54.591086	On or near Dublin Road	Anti-social behaviour	4	Hartington Ct	Belfast	Belfast	Northern Ireland	United Kingdom	BT7 1AF
157	238	2015-10	-5.909378	54.589870999999995	On or near Cappy Street	Anti-social behaviour	17	Toronto St	Belfast	Belfast	Northern Ireland	United Kingdom	BT6 8EQ
158	3027	2015-06	-5.635173	54.647845999999994	On or near Carlton Park	Anti-social behaviour	13-27	Carlton Park	Bangor	North Down	Northern Ireland	United Kingdom	BT19 6WR
159	1158	2016-07	-5.95645	54.677119	On or near Coolehill Park	Anti-social behaviour	15	Coolehill Park	Glengormley	Newtownabbey	Northern Ireland	United Kingdom	BT36 5AA
160	163	2016-11	-5.921551999999999	54.593863	On or near Lower Stanfield Street	Anti-social behaviour	3	Lower Stanfield St	Belfast	Belfast	Northern Ireland	United Kingdom	BT7 2HB
161	1380	2016-10	-6.210936	54.595766000000005	On or near Glen River Park	Anti-social behaviour	44	Glen River Park	Glenavy	Lisburn	Northern Ireland	United Kingdom	BT29 4FX
