	index	Date	Longitude	Latitude	Location	Crime type	StreetNumber	Street	Locality	AdministrativeAreaLevel2	AdministrativeAreaLevel1	Country	PostCode
1364	3582	2015-11	-6.416105	54.436665000000005	On or near Kernan Gardens	Anti-social behaviour	109	Kernan Gardens	Portadown	Craigavon	Northern Ireland	United Kingdom	BT63 5RA
1365	3958	2016-04	-6.161069	54.23755500000001	On or near Church Square	Anti-social behaviour	15	Church Square	Rathfriland	Banbridge	Northern Ireland	United Kingdom	BT34 5PT
1366	3869	2015-01	-5.852297	54.861090000000004	On or near Walnut Grove	Anti-social behaviour	27	Walnut Grove	Larne	Larne	Northern Ireland	United Kingdom	BT40 2WR
1367	3717	2016-03	-5.869153	54.607893999999995	On or near Holywood Road	Anti-social behaviour	328-346	B505	Belfast	Belfast	Northern Ireland	United Kingdom	BT4
1368	2493	2016-11	-5.695344	54.64694	On or near 	Anti-social behaviour	3	Kearney Gardens	Bangor	North Down	Northern Ireland	United Kingdom	BT19 1QR
1369	5467	2016-08	-6.277657	54.88476	On or near Mooreland Close	Anti-social behaviour	19	Mooreland Cl	Ballymena	Ballymena	Northern Ireland	United Kingdom	BT43 6FA
1370	2108	2015-12	-6.256296	55.200364	On or near Leyland Road	Anti-social behaviour	43-47	Leyland Rd	Ballycastle	Moyle	Northern Ireland	United Kingdom	BT54
1371	4264	2016-10	-6.073494999999999	54.51591	On or near Drumard Grange	Anti-social behaviour	16-22	Drumard Grange	Lisburn	Lisburn	Northern Ireland	United Kingdom	BT28 2EF
1372	2476	2016-11	-5.878781	54.604631000000005	On or near Fernvale Street	Anti-social behaviour	20	Fernvale St	Belfast	Belfast	Northern Ireland	United Kingdom	BT4 1JZ
1373	3509	2017-03	-7.638097999999999	54.344322	On or near Townhall Street	Anti-social behaviour	19-21	Townhall St	Enniskillen	Fermanagh	Northern Ireland	United Kingdom	BT74 7BA
1374	1832	2016-05	-5.8216220000000005	54.851369999999996	On or near Main Street	Anti-social behaviour	19	Lower Cross St	Larne	Larne	Northern Ireland	United Kingdom	BT40
1375	493	2016-01	-5.934633	54.612075	On or near New Lodge Road	Anti-social behaviour	197	New Lodge Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 2BY
1376	2320	2017-04	-5.943632	54.616586	On or near 	Anti-social behaviour	2	Orient Gardens	Belfast	Belfast	Northern Ireland	United Kingdom	BT14 6LH
1377	1736	2016-05	-5.924576999999999	54.583383999999995	On or near Collingwood Avenue	Anti-social behaviour	6	Collingwood Ave	Belfast	Belfast	Northern Ireland	United Kingdom	BT7 1QU
1378	4080	2015-01	-5.935062	54.617375	On or near Limestone Road	Anti-social behaviour	232	B501	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 3AX
1379	2104	2015-11	-5.961837999999999	54.588115	On or near Rodney Parade	Anti-social behaviour	30-54	Rodney Parade	Belfast	Belfast	Northern Ireland	United Kingdom	BT12 6HS
1380	2124	2016-05	-6.036521	54.565172	On or near 	Anti-social behaviour	22	Old Colin Rd		Lisburn	Northern Ireland	United Kingdom	BT17
1381	366	2015-11	-6.338451999999999	54.166016000000006	On or near Albert Basin	Anti-social behaviour	223	Albert Basin	Newry	Newry and Mourne	Northern Ireland	United Kingdom	BT35 8QS
1382	2430	2016-08	-6.283881	54.872144999999996	On or near Ballymoney Road	Anti-social behaviour	155	Ballymoney Rd	Ballymena	Ballymena	Northern Ireland	United Kingdom	BT43 5BX
1383	3204	2017-01	-6.348226	54.170103000000005	On or near Barcroft Park	Anti-social behaviour	26	Barcroft Park	Newry	Newry and Mourne	Northern Ireland	United Kingdom	BT35 8ES
1384	4090	2016-07	-5.999369000000001	54.573324	On or near Conor Close	Anti-social behaviour	4	Conor Cl	Belfast	Belfast	Northern Ireland	United Kingdom	BT11 9LF
1385	648	2016-09	-5.537125	54.63060600000001	On or near The Anchorage	Anti-social behaviour	10	Edgewater Bay	Donaghadee	Ards	Northern Ireland	United Kingdom	BT21 0EW
1386	1446	2017-04	-5.932835	54.617633	On or near Parkside Gardens	Anti-social behaviour	4	Clanchattan St	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 3AX
1387	3882	2016-04	-5.908939	54.59029399999999	On or near 	Anti-social behaviour	23	London St	Belfast	Belfast	Northern Ireland	United Kingdom	BT6 8EN
1388	2592	2016-11	-6.00256	54.064226	On or near Newcastle Street	Anti-social behaviour	34	A2	Kilkeel	Newry and Mourne	Northern Ireland	United Kingdom	BT34 4XX
1389	3343	2016-06	-6.519696	55.06980600000001	On or near Charlotte Street	Anti-social behaviour	43-59	Charlotte St	Ballymoney	Ballymoney	Northern Ireland	United Kingdom	BT53
1390	569	2016-11	-5.93765	54.586411	On or near Abercorn Street	Anti-social behaviour	7	Abercorn St	Belfast	Belfast	Northern Ireland	United Kingdom	BT9 6AS
1391	813	2016-02	-6.65378	54.344485999999996	On or near Friary Road	Anti-social behaviour	4	Friary Rd	Armagh	Armagh	Northern Ireland	United Kingdom	BT61
1392	2769	2015-06	-6.33049	54.45136899999999	On or near Spelga Park	Anti-social behaviour	10	Pollock Dr	Lurgan	Craigavon	Northern Ireland	United Kingdom	BT66 8JW
